c FILE: spectf_v267_d5_l1_br80-1.dat

l 1 1
q 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267
w 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252
b 41 42 43 44 45 46 47 49 50 51 52 53 54 55 56 59 61 62 63 64 66 67 68 69 70 71 72 73 74 75 78 79 80 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267
r 2 4 5 6 7 8 10 11 13 14 15 16 17 18 19 20 21 22 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 81 83 85 86 87 88 90 91 92 93 94 95 97 98 99 101 102 104 105 106 107 108 109 110 111 112 113 117 118 120 121 122 124 125 126 127 128 129 130 131 132 134 137 138 139 140 144 146 147 149 151 152 154 157 158 159 160 162 163 164 165 166 167 168 169 171 172 173 174 175 176 178 179 181 182 183 184 185 186 187 190 191 192 193 195 197 198 199 200 201 202 203 204 205 206 207 209 210 211 212 214 216 217 218 219 221 222 223 225 226 227 228 229 230 231 232 233 235 236 237 238 239 240 241 242 243 245 246 247 248 249 250 251
d gmin gmax 8 1 36
p edge 267 1826
e 1 16
e 1 18
e 1 29
e 1 73
e 1 108
e 1 116
e 1 131
e 1 149
e 1 165
e 1 195
e 1 228
e 1 241
e 1 249
e 1 250
e 1 257
e 2 44
e 2 50
e 2 51
e 2 56
e 2 64
e 2 66
e 2 68
e 2 74
e 2 78
e 2 80
e 2 109
e 2 111
e 2 182
e 2 190
e 2 197
e 2 198
e 2 201
e 2 209
e 2 231
e 2 237
e 2 258
e 2 262
e 2 263
e 3 99
e 3 101
e 3 123
e 3 128
e 3 141
e 3 144
e 3 157
e 3 158
e 3 219
e 3 248
e 4 6
e 4 18
e 4 52
e 4 54
e 4 62
e 4 70
e 4 73
e 4 81
e 4 104
e 4 108
e 4 131
e 4 205
e 4 223
e 4 257
e 5 99
e 5 125
e 6 18
e 6 43
e 6 49
e 6 54
e 6 62
e 6 72
e 6 73
e 6 75
e 6 81
e 6 104
e 6 188
e 6 256
e 6 257
e 6 262
e 7 14
e 7 15
e 7 41
e 7 42
e 7 44
e 7 45
e 7 61
e 7 65
e 7 66
e 7 67
e 7 80
e 7 84
e 7 86
e 7 97
e 7 164
e 7 177
e 7 187
e 7 196
e 7 203
e 7 226
e 7 230
e 7 261
e 7 263
e 7 267
e 8 31
e 8 99
e 8 142
e 8 194
e 8 207
e 8 232
e 9 18
e 9 104
e 9 105
e 9 126
e 9 136
e 9 183
e 9 205
e 9 223
e 9 246
e 10 107
e 10 128
e 10 160
e 10 243
e 11 26
e 11 84
e 11 99
e 11 123
e 11 130
e 11 134
e 11 140
e 11 141
e 11 142
e 11 143
e 11 152
e 11 158
e 11 199
e 11 219
e 11 235
e 11 251
e 12 14
e 12 29
e 12 42
e 12 66
e 12 86
e 12 108
e 12 111
e 12 201
e 12 215
e 12 250
e 12 253
e 12 258
e 13 46
e 13 159
e 13 209
e 14 26
e 14 52
e 14 108
e 14 131
e 14 177
e 14 187
e 14 202
e 14 246
e 14 251
e 15 20
e 15 30
e 15 44
e 15 54
e 15 58
e 15 63
e 15 69
e 15 82
e 15 84
e 15 97
e 15 110
e 15 117
e 15 129
e 15 142
e 15 164
e 15 186
e 15 196
e 15 203
e 15 226
e 15 253
e 15 255
e 15 259
e 15 261
e 15 263
e 16 18
e 16 19
e 16 98
e 16 108
e 16 142
e 16 149
e 16 162
e 16 165
e 16 169
e 16 202
e 16 207
e 16 233
e 16 241
e 16 250
e 16 251
