c FILE: parkinsons_v195_d5_l1_br70-3.dat

l 1 1
q 31 32 33 34 35 36 43 44 45 46 47 48 49 50 51 52 53 54 61 62 63 64 65 66 166 167 168 169 170 171 172 173 174 175 176 177 184 185 186 187 188 189 190 191 192 193 194 195
w 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 37 38 39 40 41 42 55 56 57 58 59 60 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 178 179 180 181 182 183
b 31 32 33 34 35 36 44 45 50 53 54 61 62 63 64 66 168 169 170 171 172 173 174 175 176 177 184 185 187 188 189 190 192 193 195
r 1 3 4 6 7 9 10 12 14 15 16 17 19 20 25 26 27 30 38 39 40 56 58 67 70 71 72 73 74 75 78 80 82 83 84 85 86 88 89 90 92 93 94 96 97 98 99 101 102 103 104 105 106 108 113 114 115 117 118 119 120 121 122 123 124 125 126 127 130 132 134 136 138 139 140 141 142 143 144 145 147 148 150 151 153 154 155 156 157 159 160 161 162 163 164 165 178 179 180 181 182 183
d gmin gmax 10 1 18
p edge 195 1097
e 1 3
e 1 4
e 1 6
e 1 26
e 1 56
e 1 57
e 1 60
e 1 67
e 1 72
e 1 77
e 1 81
e 1 123
e 2 3
e 2 4
e 2 5
e 2 6
e 2 19
e 2 91
e 2 102
e 2 148
e 3 4
e 3 5
e 3 6
e 3 98
e 3 99
e 4 5
e 4 6
e 4 19
e 4 148
e 5 6
e 5 102
e 5 148
e 5 149
e 6 57
e 7 8
e 7 16
e 7 49
e 7 50
e 7 51
e 7 73
e 7 76
e 7 78
e 7 130
e 7 133
e 7 164
e 7 184
e 7 185
e 7 186
e 8 16
e 8 49
e 8 50
e 8 51
e 8 84
e 8 130
e 8 134
e 8 164
e 8 184
e 8 186
e 8 189
e 9 10
e 9 11
e 9 12
e 9 58
e 9 59
e 9 73
e 9 76
e 9 79
e 9 140
e 9 154
e 9 157
e 9 160
e 9 185
e 10 11
e 10 12
e 10 26
e 10 55
e 10 57
e 10 58
e 10 59
e 10 76
e 10 79
e 10 82
e 10 161
e 10 162
e 11 12
e 11 58
e 11 76
e 12 58
e 12 59
e 12 76
e 12 79
e 12 80
e 12 136
e 12 159
e 13 15
e 13 106
e 13 107
e 13 108
e 13 109
e 13 129
e 13 130
e 13 134
e 13 172
e 13 173
e 13 174
e 13 176
e 13 177
e 13 178
e 13 179
e 13 189
e 14 15
e 14 16
e 14 25
e 14 27
e 14 28
e 14 29
e 14 30
e 14 73
e 14 122
e 14 131
e 14 132
e 14 133
e 14 175
e 14 180
e 15 16
e 15 27
e 15 28
e 15 29
e 15 30
e 15 50
e 15 130
e 15 132
e 15 133
e 15 174
e 15 175
e 15 189
e 16 17
e 16 122
e 16 133
e 16 144
e 16 164
e 16 184
e 16 185
e 16 186
e 17 111
e 17 117
e 17 121
e 17 144
e 17 185
e 17 195
e 18 19
e 18 90
e 18 141
e 18 165
e 19 20
e 19 21
e 19 23
e 19 85
e 19 88
e 19 90
e 19 91
e 19 138
e 20 21
e 20 23
e 20 85
e 20 86
e 20 90
e 20 136
e 20 137
e 20 138
e 20 141
e 20 143
e 21 22
e 21 23
e 21 98
e 21 159
e 22 23
e 22 24
e 22 26
e 22 95
e 22 123
e 22 135
e 22 136
e 22 137
e 22 138
e 22 140
e 22 156
e 22 160
e 22 161
e 22 162
e 22 163
e 23 24
e 23 85
e 23 135
e 23 136
e 23 137
e 23 138
e 23 141
e 23 143
e 24 26
e 24 67
e 24 71
e 24 72
e 24 95
e 24 110
e 24 123
e 24 128
e 24 137
e 24 143
e 24 191
e 25 27
e 25 28
e 25 30
e 25 110
e 25 111
e 25 115
e 25 122
e 25 169
e 25 180
e 25 195
e 26 67
e 26 68
e 26 71
e 26 72
e 26 123
e 26 136
e 26 140
e 26 161
e 26 162
e 26 163
e 27 28
e 27 29
e 27 30
e 27 111
e 27 115
e 27 122
e 27 180
e 27 195
e 28 29
e 28 30
e 28 131
e 28 173
e 28 174
e 28 175
e 28 177
e 28 178
e 28 181
e 28 182
e 29 30
e 29 50
