c FILE: synGraph_v21_d20_l1_br90-1.dat

l 1 1
q 4 10 11 12 13 14 15 16 17 18 19 20
w 1 2 3 5 6 7 8 9 21
b 4 14 15 16 17 18 19 20
r 1 2 3 5 6 7 8 9 21
d gmin gmax 10 1 18
p edge 21 48
e 1 2
e 1 3
e 1 4
e 1 10
e 1 11
e 1 12
e 1 13
e 2 3
e 2 10
e 2 11
e 2 12
e 2 13
e 3 10
e 3 11
e 3 12
e 3 13
e 4 5
e 5 6
e 5 7
e 5 8
e 5 9
e 5 21
e 6 7
e 6 8
e 6 9
e 6 21
e 7 8
e 7 9
e 7 21
e 8 9
e 8 21
e 9 21
e 10 14
e 10 18
e 11 14
e 11 15
e 12 15
e 12 16
e 13 16
e 13 17
e 14 19
e 14 20
e 15 19
e 15 20
e 16 19
e 16 20
e 17 20
e 18 19
