c FILE: syntheticDim3_v96_d6_l1_br80-10.dat

l 1 1
q 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
w 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
b 1 2 3 5 6 7 8 9 10 12 14 15 16 17 18 19 20 22 23 25 26 28 29 31 32 33 34 36 37 40 41 42 43
r 45 46 47 48 49 50 51 52 53 54 55 56 58 60 61 62 63 64 65 66 67 68 69 71 73 74 75 76 77 78 79 80 81 82 84 85 86 88 89 90 91 94 95 96
d gmin gmax 10 2 8
p edge 96 315
e 1 8
e 1 25
e 1 27
e 1 40
e 1 43
e 1 70
e 1 81
e 2 9
e 2 15
e 2 32
e 2 33
e 2 34
e 2 46
e 2 47
e 2 58
e 3 5
e 3 17
e 3 32
e 3 37
e 3 49
e 3 63
e 3 67
e 4 7
e 4 12
e 4 14
e 4 16
e 4 24
e 4 36
e 4 38
e 5 10
e 5 37
e 5 67
e 6 9
e 6 15
e 6 17
e 6 24
e 6 32
e 6 33
e 6 38
e 6 42
e 7 16
e 7 23
e 8 10
e 8 23
e 8 26
e 8 28
e 8 39
e 8 70
e 9 15
e 9 17
e 9 32
e 9 33
e 9 34
e 9 42
e 10 13
e 10 20
e 10 23
e 10 26
e 10 28
e 10 39
e 11 12
e 11 14
e 11 16
e 11 36
e 11 38
e 12 14
e 12 16
e 12 36
e 12 38
e 13 21
e 13 22
e 13 23
e 13 26
e 13 29
e 13 35
e 14 16
e 14 36
e 14 38
e 15 17
e 15 32
e 15 33
e 15 34
e 15 65
e 16 24
e 16 36
e 16 38
e 17 32
e 17 33
e 17 34
e 17 37
e 18 25
e 18 41
e 18 43
e 19 20
e 19 27
e 19 28
e 19 39
e 19 40
e 19 81
e 19 83
e 19 95
e 20 28
e 20 30
e 20 39
e 20 62
e 20 86
e 21 22
e 21 23
e 21 26
e 21 29
e 21 35
e 22 23
e 22 26
e 22 29
e 22 35
e 23 26
e 23 35
e 24 36
e 24 38
e 24 42
e 25 27
e 25 40
e 25 41
e 25 43
e 25 70
e 25 81
e 26 29
e 26 35
e 27 31
e 27 40
e 27 70
e 27 81
e 27 95
e 28 39
e 28 95
e 29 35
e 30 31
e 30 57
e 30 62
e 30 83
e 30 86
e 31 40
e 32 33
e 32 34
e 33 34
e 33 47
e 34 47
e 34 58
e 37 67
e 38 42
e 39 81
e 39 95
e 40 70
e 40 81
e 41 43
e 41 75
e 43 70
e 44 51
e 44 77
e 44 85
e 44 94
e 44 96
e 45 46
e 45 47
e 45 58
e 45 59
e 45 61
e 45 68
e 45 69
e 46 47
e 46 58
e 46 65
e 46 69
e 47 58
e 47 69
e 48 54
e 48 55
e 48 60
e 48 73
e 48 76
e 48 79
e 48 91
e 49 50
e 49 63
e 49 72
e 49 74
e 49 80
e 50 63
e 50 72
e 50 74
e 50 78
e 50 80
e 50 96
e 51 71
e 51 82
e 51 85
e 51 92
e 51 94
e 52 62
e 52 64
e 52 67
e 52 71
e 52 82
e 52 85
e 52 86
e 52 93
e 53 54
e 53 56
e 53 60
e 53 73
e 53 76
e 53 88
e 53 92
e 54 56
e 54 60
e 54 73
e 54 76
e 54 79
e 54 88
e 55 60
e 55 75
e 55 76
e 56 73
e 56 88
e 57 62
e 57 79
e 57 83
e 57 86
e 57 91
e 57 93
e 58 65
e 58 69
e 59 61
e 59 68
e 59 69
e 59 90
e 60 73
e 60 76
e 60 79
e 60 88
e 61 66
e 61 68
e 61 69
e 61 84
e 61 90
e 62 64
e 62 67
e 62 86
e 62 93
e 63 72
e 63 74
e 63 80
e 64 86
e 64 89
e 64 93
e 64 95
e 65 69
e 66 68
e 66 78
e 66 84
e 66 90
e 67 86
e 68 72
e 68 84
e 68 87
e 68 90
e 70 81
e 71 82
e 71 85
e 71 88
e 71 89
e 71 92
e 71 94
e 72 74
e 72 80
e 72 87
e 73 76
e 73 79
e 73 88
e 74 78
e 74 80
e 74 87
e 74 96
e 76 79
e 76 88
e 77 78
e 77 80
e 77 85
e 77 87
e 77 96
e 78 80
e 78 84
e 78 87
e 78 96
e 79 91
e 80 96
e 81 95
e 82 85
e 82 89
e 82 92
e 82 93
e 83 91
e 83 93
e 83 95
e 84 87
e 84 90
e 85 94
e 85 96
e 86 93
e 87 90
e 87 96
e 88 92
e 89 92
e 91 93
e 92 94
